Species;Egg Length (mm);Egg Width (mm);Egg Weight (g);Clutch Size;Clutches;Source
Pittasoma michleri;31.3;23.5;;2;1;Wetmore (1972)
Pittasoma michleri;32.2;23;;;;Wetmore (1972)
Conopophaga melanops;22;17;;2;1;von Ihering (1900)
Conopophaga melanops;21;17;;;;von Ihering (1900)
Conopophaga melanops;21.2;17.2;3.4;2;1;Schönwetter (1967)
Conopophaga melanops;22.5;17.5;;2;1;Straube (1989)
Conopophaga melanops;22.7;17;;;;Straube (1989)
Conopophaga melanops;23;16.8;3.4;2;1;Alves et al. (2002)
Conopophaga melanops;23.1;16.9;3.6;;;Alves et al. (2002)
Conopophaga melanops;;;;2;17;Lima & Roper (2009)
Conopophaga melanops;;;;1;1;Lima & Roper (2009)
Conopophaga melanops;;;;2;1;Stenzel & Souza (2014)
Conopophaga melanops;22.41;17.03;3.21;2;114;Studer et al. (2019)
Conopophaga aurita;22.2;17.5;;2;1;Whitney (2003)
Conopophaga aurita;22.9;17.5;;;;Whitney (2003)
Conopophaga aurita;;;;1;1;Leite et al. (2012)
Conopophaga peruviana;;;;2;1;Begazo & Valqui (1998)
Conopophaga peruviana;;;;2;1;Dreyer (2002)
Conopophaga peruviana;;;;2;1;Hillman & Hogan (2002)
Conopophaga peruviana;;;;2;1;Londoño (2014)
Conopophaga peruviana;21.2;16.3;2.7;2;1;Greeney (2018)
Conopophaga peruviana;21.3;16.2;2.8;;;Greeney (2018)
Conopophaga peruviana;21.9;16.7;3.3;2;1;Greeney (2018)
Conopophaga peruviana;20.8;16.2;;2;1;Greeney (2018)
Conopophaga peruviana;20.5;16.1;;;;Greeney (2018)
Conopophaga peruviana;;;;2;12;Greeney (2018)
Conopophaga cearae;22.8;18;;2;1;Vieira et al.
Conopophaga cearae;21.7;18;;;;Vieira et al.
Conopophaga cearae;;;;1;1;Vieira et al.
Conopophaga cearae;;;;2;1;Vieira et al.
Conopophaga cearae;22.64;18.05; ;2;1;Vieira et al.
Conopophaga cearae;21.75;17.85;;;;Vieira et al.
Conopophaga cearae;;; ;2;1;Vieira et al.
Conopophaga cearae;20;16;;2;1;Vieira et al.
Conopophaga cearae;21;16;;;;Vieira et al.
Conopophaga roberti;20;17;;2;1;Velho (1932)
Conopophaga roberti;20;17;;;;Velho (1932)
Conopophaga roberti;21.3;17.2;3.1;2;17;Pereira et al. (2022)
Conopophaga lineata;20.5;17;;2;1;Nehrkorn (1899)
Conopophaga lineata;21;17.5;;;;Nehrkorn (1899)
Conopophaga lineata;22;18;;2;2;von Ihering (1900)
Conopophaga lineata;23;18;;;;von Ihering (1900)
Conopophaga lineata;23;18;;2;2;Oates & Reid (1903)
Conopophaga lineata;24;18;;;;Oates & Reid (1903)
Conopophaga lineata;;;;3;1;Frisch & Frisch (1964)
Conopophaga lineata;;;;4;1;Frisch & Frisch (1964)
Conopophaga lineata;22.7;17.5;3.7;;;Schönwetter (1967)
