Species,Nest Internal Diameter (mm),Nest Inner Depth (mm),Nest External Diameter (mm),Nest External Heigh (mm),Nest Height Above Ground (cm),Egg Length (mm),Egg Width (mm),Egg Weight (g),Clutch Size,Source
Pittasoma michleri,90,,,,100,31.3,23.5,,2 (1),Wetmore (1972)
Pittasoma michleri,,,,,,32.2,23,,,Wetmore (1972)
Pittasoma michleri,,60,22,,,,,,,Greeney (2018)
Conopophaga melanops,,,,,,22,17,,2 (1),von Ihering (1900)
Conopophaga melanops,,,,,,21,17,,,von Ihering (1900)
Conopophaga melanops,,,,,,21.2,17.2,3.4,2 (1),Schönwetter (1967)
Conopophaga melanops,57,42,,100,57,22.5,17.5,,2 (1),Straube (1989)
Conopophaga melanops,,,,,,22.7,17,,,Straube (1989)
Conopophaga melanops,85,43,110,65,87,23,16.8,3.4,2 (1),Alves et al. (2002)
Conopophaga melanops,,,,,,23.1,16.9,3.6,,Alves et al. (2002)
Conopophaga melanops,,,,,80,,,,,Whitney (2003)
Conopophaga melanops,,,,,60,,,,,Whitney (2003)
Conopophaga melanops,,,,,,,,,2 (17),Lima & Roper (2009)
Conopophaga melanops,55,50,,,75,,,,,Stenzel & Souza (2014)
Conopophaga melanops,61.1,37.8,136,86,69.4,22.41,17.03,3.21,2 (114),Studer et al. (2019)
Conopophaga aurita,,28,75,,80,22.2,17.5,,2 (1),Whitney (2003)
Conopophaga aurita,,,,,,22.9,17.5,,,Whitney (2003)
Conopophaga aurita,58,32,123,96,56,,,,1 (1),Leite et al. (2012)
Conopophaga peruviana,,,,,84,,,,2 (1),Begazo & Valqui (1998)
Conopophaga peruviana,,,,,35,,,,2 (1),Dreyer (2002)
Conopophaga peruviana,58,37,68,,70,,,,2 (1),Hillman & Hogan (2002)
Conopophaga peruviana,62.5,40,102.5,65,45,21.2,16.3,2.7,2 (1),Greeney (2018)
Conopophaga peruviana,,,,,,21.3,16.2,2.8,,Greeney (2018)
Conopophaga peruviana,55,35,100,70,30,21.9,16.7,3.3,2 (1),Greeney (2018)
Conopophaga peruviana,62,40,86,62,51,20.8,16.2,,2 (1),Greeney (2018)
Conopophaga peruviana,,,,,,20.5,16.1,,,Greeney (2018)
Conopophaga peruviana,,,,,,,,,2 (12),Greeney (2018)
Conopophaga cearae,,,111.6,50,40,22.8,18,,2 (1),Vieira et al.
Conopophaga cearae,,,,,,21.17,18,,,Vieira et al.
Conopophaga cearae,,,,,,,,,1 (1),Vieira et al.
Conopophaga cearae,60,,,,,,,,2 (1),Vieira et al.
Conopophaga cearae,69.6,43.65,104.95,87.5,46,22.64,18.05, ,2 (1),Vieira et al.
Conopophaga cearae,,,,,,21.75,17.85,,,Vieira et al.
Conopophaga cearae,,,,,,,, ,2 (1),Vieira et al.
Conopophaga cearae,66,45,85,86,40,20,16,,2 (1),Vieira et al.
Conopophaga cearae,,,,,,21,16,,,Vieira et al.
Conopophaga roberti,,,,,,20,17,,2 (1),Velho (1932)
Conopophaga roberti,,,,,,20,17,,,Velho (1932)
Conopophaga roberti,70,45,100,105,29,,,,,Whitney (2003)
Conopophaga roberti,59.4,40.6,79.1,,40.6,,,,,Pereira et al. (2022)
Conopophaga roberti,,,,,15,,,,,Pereira et al. (2022)
Conopophaga roberti,,,,,75,,,,,Pereira et al. (2022)
Conopophaga roberti,,,,,,21.3,17.2,3.1,2 (17),Pereira et al. (2022)
Conopophaga lineata,,,,,,20.5,17,,2 (1),Nehrkorn (1899)
Conopophaga lineata,,,,,,21,17.5,,,Nehrkorn (1899)
Conopophaga lineata,60,35,110,,,22,18,,2 (2),von Ihering (1900)
Conopophaga lineata,,,,,,23,18,,,von Ihering (1900)
Conopophaga lineata,,,,,,23,18,,2 (2),Oates & Reid (1903)
Conopophaga lineata,,,,,,24,18,,,Oates & Reid (1903)
Conopophaga lineata,,,,,50,,,,3 (1),Frisch & Frisch (1964)
Conopophaga lineata,,,,,,,,,4 (1),Frisch & Frisch (1964)
Conopophaga lineata,,,,,,22.7,17.5,3.7,,Schönwetter (1967)
Conopophaga lineata,,,,,,22.6,17.8,3.9,,Schönwetter (1967)
Conopophaga lineata,,,,,,22.9,18.25,,,Kreuger (1968) apud Greeney (2018)
Conopophaga lineata,,,,,,23,17.5,,,Kreuger (1968) apud Greeney (2018)
Conopophaga lineata,,,,,,22.65,17.85,,,Kreuger (1968) apud Greeney (2018)
Conopophaga lineata,,,,,,22.15,17.2,,,Kreuger (1968) apud Greeney (2018)
Conopophaga lineata,,,,,,21.4,16.85,,,Kreuger (1968) apud Greeney (2018)
Conopophaga lineata,,,,,40,21,18,2.9,,Willis et al. (1983)
